,Domain,Course,Similarity
0,Technical Writing,CSE 101,0.15081341280601918
1,IT & Data Management,CSE 101,0.13097202042117714
2,Technical Solutions,CSE 101,0.12907932065427302
3,People Operations,CSE 101,0.12528210636228324
4,Data Center & Network,CSE 101,0.12405133610591293
5,Program Management,CSE 101,0.1143533137626946
6,Hardware Engineering,CSE 101,0.11044166630599647
7,Legal & Government Relations,CSE 101,0.10748382341116666
8,User Experience & Design,CSE 101,0.1010748129338026
9,Software Engineering,CSE 101,0.09357233732007444
10,Business Strategy,CSE 101,0.09131933483295143
11,Technical Infrastructure,CSE 101,0.08773957057856023
12,Partnerships,CSE 101,0.08656794594135135
13,Real Estate & Workplace Services,CSE 101,0.08656794594135135
14,Marketing & Communications,CSE 101,0.08064049910753965
15,Network Engineering,CSE 101,0.07508278388995678
16,Administrative,CSE 101,0.07306411620229483
17,Finance,CSE 101,0.07278785303496989
18,Sales Operations,CSE 101,0.0683011869667098
19,Manufacturing & Supply Chain,CSE 101,0.0653622719226405
20,Product & Customer Support,CSE 101,0.052731239004060626
21,Sales & Account Management,CSE 101,0.03554539888864383
22,Developer Relations,CSE 101,0.02977759065106511
23,Technical Writing,CSE 114,0.12870995715064437
24,Hardware Engineering,CSE 114,0.10841174526017551
25,Legal & Government Relations,CSE 114,0.10531717212870717
26,Business Strategy,CSE 114,0.09702710518123288
27,User Experience & Design,CSE 114,0.09625698008427494
28,Partnerships,CSE 114,0.09151974673333921
29,Real Estate & Workplace Services,CSE 114,0.09151974673333921
30,Technical Infrastructure,CSE 114,0.08979132588903763
31,Data Center & Network,CSE 114,0.08515149640458587
32,IT & Data Management,CSE 114,0.08146255164358177
33,Software Engineering,CSE 114,0.07984393516457394
34,Program Management,CSE 114,0.07936045383777175
35,Finance,CSE 114,0.07886252591484472
36,Technical Solutions,CSE 114,0.07845393538867172
37,People Operations,CSE 114,0.062124411379428285
38,Network Engineering,CSE 114,0.05835652856254264
39,Marketing & Communications,CSE 114,0.056475330732370675
40,Product & Customer Support,CSE 114,0.053947457602541694
41,Sales Operations,CSE 114,0.04800455487872425
42,Administrative,CSE 114,0.03920406150312996
43,Sales & Account Management,CSE 114,0.03577788794217141
44,Manufacturing & Supply Chain,CSE 114,0.033439844184996265
45,Developer Relations,CSE 114,0.025637230688804073
46,IT & Data Management,CSE 214,0.12876051628263668
47,Business Strategy,CSE 214,0.12293365998193621
48,Hardware Engineering,CSE 214,0.11655915149021893
49,Technical Writing,CSE 214,0.11163565455935895
50,Data Center & Network,CSE 214,0.11128544509410858
51,User Experience & Design,CSE 214,0.10881577786058187
52,Partnerships,CSE 214,0.09801590609713458
