,Domain,Course,Similarity,jobSkills,courseSkills
0,"Data Scientist / Quantitative Analyst Technical Lead, Engineering",CSE 101,0.177091867593117,"using,articulating,selecting,including,translating,learning,exceeding,evolving,evaluating,estimating,analysis,model,sampling,biology,bioinformatics,answer,school,economics,multivariate,teach","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
1,People Partner,CSE 101,0.1697797805070877,"coaching,working,solving,following,planning,consulting,exceeding,evaluating,finishing,finding,consultation,action,leader,change,recommendation,analysis,trend,set,quo,understand","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
2,"Marketing Analyst, Product Growth",CSE 101,0.1618200837168842,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
3,Consumer Insights Manager,CSE 101,0.1596482006832957,"operationalizing,distilling,storytelling,conducting,writing,managing,marketing,working,evolving,exceeding,research,gain,curiosity,mindset,analysis,package,creativity,party,acumen,designing","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
4,"Software Engineer, Accessibility",CSE 101,0.1571889581158757,"learning,including,exceeding,evolving,engaging,executing,evaluating,estimating,exercising,establishing,retrieval,window,tcp,machine,interface,linux,information,passion,relevant,design","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
5,"Market Lead, Google Marketing Solutions (Lithuanian, Latvian or Estonian)",CSE 101,0.1494782172143459,"developing,managing,exceeding,evolving,executing,expanding,existing,exercising,explaining,evaluating,agency,constituent,opportunity,action,recommendation,speak,range,business,ability,develop","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
6,Staffing Services Lead,CSE 101,0.1468409428489394,"achieving,maximizing,managing,maintaining,recruiting,designing,working,evolving,exceeding,executing,process,team,efficiency,domain,service,responsibility,effort,knowledge,delivery,implementing","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
7,"Technical Solutions Engineering Manager, Firebase, Google Cloud",CSE 101,0.1468409428489394,"supporting,operating,thinking,solving,exceeding,evolving,executing,establishing,estimating,evaluating,storage,engine,commerce,server,app,advocate,presence,customer,io,implementing","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
8,"Content Strategist, Consumers, Google Technical Services",CSE 101,0.1383185055106878,"inspiring,editing,writing,solving,understanding,evolving,exceeding,executing,evaluating,estimating,consumer,benefit,medium,copy,journalism,mentor,production,communication,principle,content","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
9,"Enforcement Analyst, Trust and Safety, YouTube",CSE 101,0.1383185055106878,"fighting,going,learning,programming,using,solving,evolving,exceeding,executing,evaluating,abuse,solve,anti,problem,history,domain,policy,machine,improvement,content","coding,programming,writing,exploiting,explaining,existing,following,focusing,fitting,filtering,beginner,teach,level,code,course,extraction,fabrication,extension,expression,explores"
