,Domain,Course,Similarity
0,"Data Scientist / Quantitative Analyst Technical Lead, Engineering",CSE 101,0.17709186759311707
1,People Partner,CSE 101,0.1697797805070877
2,"Marketing Analyst, Product Growth",CSE 101,0.16182008371688425
3,Consumer Insights Manager,CSE 101,0.15964820068329572
4,"Software Engineer, Accessibility",CSE 101,0.15718895811587572
5,"Market Lead, Google Marketing Solutions (Lithuanian, Latvian or Estonian)",CSE 101,0.14947821721434593
6,Staffing Services Lead,CSE 101,0.14684094284893945
7,"Technical Solutions Engineering Manager, Firebase, Google Cloud",CSE 101,0.14684094284893945
8,"Content Strategist, Consumers, Google Technical Services",CSE 101,0.13831850551068783
9,"Enforcement Analyst, Trust and Safety, YouTube",CSE 101,0.13831850551068783
10,Administrative Business Partner,CSE 101,0.13637098781764506
11,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 101,0.13627885775640608
12,"UX Engineer, Front End",CSE 101,0.13627885775640608
13,Associate Legal Counsel (Commercial) Google Cloud,CSE 101,0.1327750003809342
14,"Customer Reference Marketing Manager, Google Cloud",CSE 101,0.1327750003809342
15,"Developer Advocate, Cloud Platform",CSE 101,0.1327750003809342
16,"Developer Advocate, Partner Engineering",CSE 101,0.1327750003809342
17,"Partner Engineer, Google Assistant, Google Technical Services",CSE 101,0.1327750003809342
18,Senior Accountant,CSE 101,0.1327750003809342
19,Human Resources Apprenticeship,CSE 101,0.1321616668254137
20,"Migration Architect, Google Cloud",CSE 101,0.1321616668254137
21,"AdMob Technical Sales Lead, Online Partnerships Group",CSE 101,0.13187898155301808
22,Associate Lead Recruiter (Hardware),CSE 101,0.13187898155301808
23,Revenue Systems Senior Accountant,CSE 101,0.13187898155301808
24,"Sales Development Manager, Cross-Vertical Team",CSE 101,0.13187898155301808
25,"Shopping Specialist, Large Customer Sales (English, Mandarin)",CSE 101,0.13187898155301808
26,"Supplier Development Engineer, Materials, Consumer Products",CSE 101,0.13187898155301808
27,"Account Executive, Mid Market Sales, Google Marketing Solutions",CSE 101,0.13173128850758076
28,"Measurement and Attribution Specialist (English, German)",CSE 101,0.13173128850758076
29,Associate Legal Counsel (English and Russian),CSE 101,0.12994832545518875
30,"Systems Architect Hardware Engineer, Home",CSE 101,0.12994832545518875
31,Front End Software Engineer,CSE 101,0.12973487100098283
32,"Interaction Designer, Publisher UX",CSE 101,0.12973487100098283
33,"Strategic Technology Partner Manager, Healthcare and Life Sciences",CSE 101,0.12973487100098283
34,"Linguist, Natural Language Understanding, Machine Intelligence",CSE 101,0.1296563339419663
35,"Program Manager, Alphabet Treasury, Corporate Engineering",CSE 101,0.1296563339419663
36,"Solutions Engineer, Google Cloud Healthcare and Life Sciences",CSE 101,0.1296563339419663
37,Global Business Strategy Manager,CSE 101,0.12907932065427302
38,"Global Business Strategy Manager, Sales Productivity, Central Strategy and Operations",CSE 101,0.12907932065427302
39,"Global Go-to-Market Strategy Lead, Retail Marketing",CSE 101,0.12907932065427302
40,"Head of Platforms and Display, Go-to-Market Strategy and Operations",CSE 101,0.12907932065427302
41,"Mechanical Engineer, Data Center",CSE 101,0.12907932065427302
42,"Product Marketing Manager, IoT, Google Cloud Platform",CSE 101,0.12907932065427302
43,"Product Specialist, New Hardware Devices and Platforms, Google Play",CSE 101,0.12907932065427302
44,Vendor Operations Program Manager,CSE 101,0.12907932065427302
45,Analog & CAD Automation Engineer,CSE 101,0.1290369641035795
46,Online Sales Account Manager (Czech or Slovak),CSE 101,0.1290369641035795
47,"Presales Manager, New Business Development",CSE 101,0.1290369641035795
48,"Program Manager, Audio Visual (AV) Deployments",CSE 101,0.1290369641035795
49,Strategic Vendor Manager,CSE 101,0.12894137259572744
50,"Software Engineer, Virtual Prototyping",CSE 101,0.12806915263645352
51,"Interaction Designer, Site Reliability - London",CSE 101,0.12792966961860658
52,Portfolio Strategist,CSE 101,0.12792966961860658
53,Quantitative User Experience Research Lead,CSE 101,0.12792966961860658
54,"Strategy and Operations Manager, Go-To-Market, Partnerships",CSE 101,0.12792966961860658
55,"Technical Account Manager, Google Technical Services (Mandarin or Cantonese)",CSE 101,0.12792966961860658
56,"Network Implementation Engineer, Corporate Network",CSE 101,0.12790887777227908
57,Online Sales Account Strategist (Italian),CSE 101,0.12790887777227908
58,"Manager of Store Operations, Hardware Partnerships",CSE 101,0.1273847505217418
59,"Supplier Development Engineer, Sensor Module",CSE 101,0.1273847505217418
60,"Industrial Design Intern, Summer 2018",CSE 101,0.12637592937098815
61,"Account Manager, Branding",CSE 101,0.12591186156496406
62,GMS Sales Agency Lead,CSE 101,0.12591186156496406
